CIN,CompanyName,CompanyROCcode,CompanyCategory,CompanySubCategory,CompanyClass,AuthorizedCapital,PaidupCapital,CompanyRegistrationdate_date,Registered_Office_Address,Listingstatus,CompanyStatus,CompanyStateCode,CompanyIndian/Foreign Company,nic_code,CompanyIndustrialClassification,simplified_category
"U74999AP2017PTC105150","EDBRIX INFORMATION TECHNOLOGY PRIVATE LIMITED","ROC Vijayawada","Company limited by shares","Non-government company","Private","2000000.00","1020000.00","2017-02-13","54-20-9 FLOT NO 501 4TH   GURU NANAK COLONYNA-VIJAYAWADA-Andhra Pradesh-520008-India","Unlisted","Strike Off","andhra pradesh","Indian","74999","Business Services","business_services"
"U74999AP2017PTC105363","SRI VARAMAHALAKSHMI CHITS PRIVATE LIMITED","ROC Vijayawada","Company limited by shares","Non-government company","Private","2000000.00","2000000.00","2017-03-09","DNO:8-87,FF,SN:F3&F4   NEAR KANYAKAPARAMESWARI TEMPLENA-KAIKALURU-Andhra Pradesh-521333-India","Unlisted","Active","andhra pradesh","Indian","74999","Business Services","business_services"
"U74999AP2017PTC105367","MAYUMILIFE PRIVATE LIMITED","ROC Vijayawada","Company limited by shares","Non-government company","Private","1000000.00","1000000.00","2017-03-09","Building No. 1138, D. No. 6-13-70,   Part of First Floor, 13/2 Arundelpet,NA-Guntur-Andhra Pradesh-522002-India","Unlisted","Strike Off","andhra pradesh","Indian","74999","Business Services","business_services"
"U74999AP2017PTC105454","STAND VSURE INDIA PRIVATE LIMITED","ROC Vijayawada","Company limited by shares","Non-government company","Private","1000000.00","100000.00","2017-03-20","D.No.6-21-10, Sai Murugan Enclave   East Point Colony, China WaltairNA-Visakhapatnam-Andhra Pradesh-530017-India","Unlisted","Strike Off","andhra pradesh","Indian","74999","Business Services","business_services"
"U74999AP2017PTC105592","SAROJINI E-HUB PRIVATE LIMITED","ROC Vijayawada","Company limited by shares","Non-government company","Private","1000000.00","100000.00","2017-04-05","47-10-22, II Lane,   Dwarakanagar,NA-Visakhapatnam-Andhra Pradesh-530016-India","Unlisted","Active","andhra pradesh","Indian","74999","Business Services","business_services"
"U74999AP2017PTC105656","ANDHRA KAASHMIR TRIBAL FARMING AND MARKETING PRODUCER COMPANY LIMITED","ROC Vijayawada","Company limited by shares","Non-government company","Private","100000.00","100000.00","2017-04-13","52-1/3, Main road, Tajangi Village and Post,   Chintapalli MandalNA-narsipatnam-Andhra Pradesh-531118-India","Unlisted","Active","andhra pradesh","Indian","74999","Business Services","business_services"
"U74999AP2017PTC105714","DEVUJ MANAGEMENT SERVICES PRIVATE LIMITED","ROC Vijayawada","Company limited by shares","Non-government company","Private","1000000.00","100000.00","2017-04-21","3rd Floor, Near Vepagunta Bus Stop,   Opp: Laxmi Kalyanamandapam, Naidu Thota,NA-Vishakhapatnam-Andhra Pradesh-530047-India","Unlisted","Active","andhra pradesh","Indian","74999","Business Services","business_services"
"U74999AP2017PTC105788","TIRUMALA AGRO PROCESSORS PRIVATE LIMITED","ROC Vijayawada","Company limited by shares","Non-government company","Private","1000000.00","1000000.00","2017-05-02","D.NO.1307-369, NO. B2, HONEY RESIDENCY   5TH LANE, KRISHNA NAGARNA-GUNTUR-Andhra Pradesh-522006-India","Unlisted","Active","andhra pradesh","Indian","74999","Business Services","business_services"
"U74999AP2017PTC105801","REBICON BUSINESS CONSULTING PRIVATE LIMITED","ROC Vijayawada","Company limited by shares","Non-government company","Private","400000.00","50000.00","2017-05-04","14-229/4, 5th Road,   Mahadevapuram Colony, M.G. Road,NA-Vijayawada-Andhra Pradesh-520007-India","Unlisted","Strike Off","andhra pradesh","Indian","74999","Business Services","business_services"
"U74999AP2017PTC105821","AMBADIPUDI BUILDER HEIGHTS & INFRATECH PRIVATE LIMITED","ROC Vijayawada","Company limited by shares","Non-government company","Private","100000.00","100000.00","2017-05-10","# 33-21-17, OPP. MYSORECAFE,   ELURU ROAD, SETHARAMAPURAM,NA-VIJAYAWADA-Andhra Pradesh-520002-India","Unlisted","Strike Off","andhra pradesh","Indian","74999","Business Services","business_services"
